id,name,vendor,type,segment,condition,warranty_tag,cpu,ram,ssd,gpu,screen,price,compare_at,stock_tracked,qty,url
44712849,Laptop cũ Dell Latitude 5310 2in1 Core i7-10610U | 8GB | 256GB | 13.3 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Cũ,6 Tháng,,8GB DDR4,M.2 NMVe 256GB,Intel Graphics,"13.3"" FHD Cảm ứng",9880000,14580000,no,0,https://laptoptv.vn/laptop-cu-dell-latitude-5310-2in1-cam-ung-core-i7-10610u-8gb-256gb-man-hinh-13-3-inch-fhd-cam-ung
44712848,Laptop cũ Dell Latitude 5310 2in1 Core i5-10210U | 16GB | 512GB | 13.3 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Cũ,6 Tháng,Intel Core i5-10210U,16GB DDR4,SSD M.2 NMVe 512GB,Intel Graphics,"13.3"" FHD Cảm ứng",9880000,14980000,yes,4,https://laptoptv.vn/laptop-cu-dell-latitude-5310-2in1-cam-ung-core-i5-10210u-16gb-512gb-man-hinh-13-3-inch-fhd-cam-ung
44712630,Laptop cũ HP Elitebook 1030  X360 Core i5-7200U | 16GB 256GB | 13 icnh FHD Cảm ứng,HP,Laptop,Xoay gập,Cũ,6 Tháng,Intel Core i5-7200U,8GB DDR4,SSD M.2 NMVe 256GB,Intel Graphics,"13"" FHD Cảm ứng",9880000,12480000,no,0,https://laptoptv.vn/hp-elitebook-x360-cam-ung-1030-core-i5-7200u-16gb-256gb
44712975,[Like New] Dell Latitude 7410 2in1 Core i5-10310U | 16GB | 256GB | 14 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i5-10310U,16GB DDR4,SSD 256GB NVMe,Intel Graphics,14 inch FHD Cảm ứng,9980000,16960000,no,0,https://laptoptv.vn/laptop-cu-dell-latitude-7410-2in1-ca-m-u-ng-core-i5-10310u-16gb-256gb-man-hinh-14-inch-fhd-cam-ung-xoay-ga-p-360
44712825,[Like New] Dell latitude 5320 2in1 Core i5-1135G7 | 16GB | 512GB | 13.3 inch FHD cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,intel Core i5-1135G7,16GB 3200MHz DDR4,512GB SSD NVMe PCIe,Intel Graphics,13.3 inch FHD,10280000,17980000,no,0,https://laptoptv.vn/laptop-cu-dell-latitude-5320-2in1-core-i5-1135g7-16gb-512gb-13-3-inch-fhd-cam-ung
76686034,[Like New] Dell Latitude 7420 [Vỏ nhôm] Core i5-1145G7 | 16GB | 256GB | 14.0 inch FHD,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i5-1145G7,16GB DDR4,256GB NVMe PCIe,Iris Xe Graphics,14 inch FHD,10390000,12980000,no,0,https://laptoptv.vn/like-new-dell-latitude-7420-vo-nhom-core-i5-1145g7-16gb-256gb-14-0-inch-fhd
61095842,[Like New] Dell latitude 5320 2in1 Core i7-1185G7 | 16GB | 256GB | 13.3 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,intel Core i7-1185G7,16GB DDR4,256GB SSD NVMe PCIe,Intel Graphics,13.3 inch FHD,10680000,21230000,no,0,https://laptoptv.vn/laptop-cu-dell-latitude-5320-2in1-core-i7-1185g7-16gb-256gb-13-3-inch-fhd-cam-ung
44712980,[Like New] Dell Latitude 7400 2in1 Core i7-8665U | 16GB | 512GB | Intel UHD Graphics | 14inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i7-8665U,16GB DDR4,512GB NVMe,Intel Graphics,14 inch FHD Cảm ứng,10680000,13480000,yes,44,https://laptoptv.vn/laptop-cu-dell-latitude-7400-2in1-cam-ung-core-i7-8665u-ram-16gb-ssd-512gb-intel-uhd-graphic-14inch-cam-ung
44712716,Laptop cũ Dell Inspiron 7415 2in1  Ryzen 5- 5625U | 8GB | 512GB | 14 inch FHD+ Cảm ứng,Dell,Laptop,Xoay gập,Cũ,6 Tháng,Ryzen 5-5500U,8GB DDR4,256GB NVMe PCIe,onboard,14 inch FHD Cảm ứng,10680000,18990000,no,0,https://laptoptv.vn/dell-inspiron-7415-2in1-cam-ung-ryzen-5-5500u-8gb-256gb-xoay-ga-p-360
44712913,Laptop cũ HP Elitebook X360 1030 Core i7-7600U | 16GB | 256GB | 13 inch FHD Cảm ứng,HP,Laptop,Xoay gập,Cũ,6 Tháng,Intel Core i7-7600U,16GB DDR4,512GB NVMe,Intel Graphics,13.3 inch Cảm ứng,10880000,13980000,no,0,https://laptoptv.vn/laptop-cu-hp-elitebook-x360-cam-ung-1030-core-i7-7600u-16gb-256gb
44712812,Laptop cũ  Dell XPS 9365 2in1 Core i5-8200Y | 8GB | 256GB | 13.3 inch  FHD Cảm ứng,Dell,Laptop,Xoay gập,Cũ,6 Tháng,Intel Core i5,8GB DDR4,256GB SSD NVMe PCIe,Intel Graphics,13.3 inch FHD,10880000,14980000,no,0,https://laptoptv.vn/laptop-cu-dell-xps-9365-2in1-core-i5-8200y-8gb-256gb-13-3-inch-fhd-cam-ung
76686395,[Like New] Dell Latitude 7420 [Vỏ nhôm] Core i5-1145G7 | 16GB | 256GB | 14.0 inch 3K,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i5-1145G7,16GB DDR4,256GB NVMe PCIe,Iris Xe Graphics,14 inch 3K,10890000,13980000,no,0,https://laptoptv.vn/like-new-dell-latitude-7420-vo-nhom-core-i5-1145g7-16gb-256gb-14-0-inch-3k
44712966,[Like New] Dell Latitude 7410 2in1 Core i7-10610U | 16GB | 256GB | 14 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i7,16GB DDR4,512GB NVMe,Intel Graphics,14 inch FHD Cảm ứng,10980000,16480000,no,0,https://laptoptv.vn/laptop-cu-dell-latitude-7410-2in1-cam-ung-core-i5-core-i7-man-hinh-14-inch-fhd-xoay-ga-p-360
44712961,[Like New] Dell Latitude 7420 2in1 [vỏ carbon] Core i5-1145G7 | 16GB | 256GB | 14.0 inch FHD,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i5-1145G7,16GB DDR4,SSD 256GB NVMe,Iris Xe Graphics,14 inch FHD Cảm ứng,10980000,12980000,yes,5,https://laptoptv.vn/dell-latitude-7420-2in1-core-i5-1145g7-16gb-256gb-14-0-inch-fhd
44712629,Laptop cũ HP Elitebook 1040 G6 X360 Core i5-8250U | 16GB | 256GB | 14 inch FHD Cảm ứng,HP,Laptop,Xoay gập,Cũ,6 Tháng,Intel Core i5-8250U,16GB DDR4 3200Mhz,SSD M.2 NMVe 256GB,Intel Graphics,14 inch,10980000,13888000,no,0,https://laptoptv.vn/hp-elitebook-x360-cam-ung-1040-core-i5-8250u-16gb-256gb
